"well.name","SampledDate","SampleNumber","ParameterName","ParameterUnits","result","Method.Detection.Limit","Reporting.limit","censoring.status","Easting","Northing"
"MW-13-1988",1988-01-25,"880050","Ammonia","mg/L",0.1,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Ammonia","mg/L",0.1,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Cadmium","µg/L",1,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Cadmium","µg/L",1,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Cadmium","µg/L",1,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Cadmium","µg/L",1,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Cadmium","µg/L",1,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Chromium","µg/L",5,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Chromium","µg/L",5,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Chromium","µg/L",5,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Chromium","µg/L",5,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Chromium","µg/L",5,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","ChemicalOxygenDemand","mg/L",5,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","ChemicalOxygenDemand","mg/L",5,NA,NA,"left.censored",4218304.4,910813.2
"MW-14A-1988",1988-01-25,"880055","ChemicalOxygenDemand","mg/L",5,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","ChemicalOxygenDemand","mg/L",5,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Copper","µg/L",5,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Copper","µg/L",5,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Copper","µg/L",5,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Copper","µg/L",5,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Copper","µg/L",5,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","FecalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","FecalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","FecalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","FecalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","FecalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Lead","µg/L",5,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Lead","µg/L",5,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Lead","µg/L",5,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Lead","µg/L",5,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Lead","µg/L",5,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Nickel","µg/L",5,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Nickel","µg/L",5,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Nickel","µg/L",5,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Nickel","µg/L",5,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Nickel","µg/L",5,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","TotalOrganicCarbon","mg/L",2,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","TotalOrganicCarbon","mg/L",2,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","TotalOrganicCarbon","mg/L",2,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","TotalOrganicCarbon","mg/L",2,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","TotalOrganicCarbon","mg/L",2,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","TotalColiform","Colonies per 100 mL",1,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Zinc","µg/L",10,NA,NA,"left.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Zinc","µg/L",10,NA,NA,"left.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Zinc","µg/L",10,NA,NA,"left.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Zinc","µg/L",10,NA,NA,"left.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Zinc","µg/L",10,NA,NA,"left.censored",4217612.9,910804.299999995
"MW-14-1988",1988-01-25,"880054","ChemicalOxygenDemand","mg/L",7,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-13-1988",1988-01-25,"880050","Chloride","mg/L",4,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Chloride","mg/L",2.4,NA,NA,"not.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Chloride","mg/L",3.1,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Chloride","mg/L",2.8,NA,NA,"not.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Chloride","mg/L",3.1,NA,NA,"not.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Conductivity","µS/cm",222,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Conductivity","µS/cm",237,NA,NA,"not.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Conductivity","µS/cm",221,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Conductivity","µS/cm",228,NA,NA,"not.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Conductivity","µS/cm",265,NA,NA,"not.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","Nitrate","mg/L",3.4,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","Nitrate","mg/L",4.7,NA,NA,"not.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","Nitrate","mg/L",2.8,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","Nitrate","mg/L",2.7,NA,NA,"not.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","Nitrate","mg/L",5.2,NA,NA,"not.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","TotalDissolvedSolids","mg/L",167,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","TotalDissolvedSolids","mg/L",185,NA,NA,"not.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","TotalDissolvedSolids","mg/L",170,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","TotalDissolvedSolids","mg/L",175,NA,NA,"not.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","TotalDissolvedSolids","mg/L",200,NA,NA,"not.censored",4217612.9,910804.299999995
"MW-13-1988",1988-01-25,"880050","WaterTableElevation","feet above mean sea level",362.47,NA,NA,"not.censored",4218262.9,910814.599999998
"MW-13A-1988",1988-01-25,"880052","WaterTableElevation","feet above mean sea level",360.37,NA,NA,"not.censored",4218304.4,910813.2
"MW-14-1988",1988-01-25,"880054","WaterTableElevation","feet above mean sea level",359.8,NA,NA,"not.censored",4217612.3,910814.700000002
"MW-14A-1988",1988-01-25,"880055","WaterTableElevation","feet above mean sea level",360.32,NA,NA,"not.censored",4217622.5,910814.499999998
"MW-14B-1988",1988-01-25,"880058","WaterTableElevation","feet above mean sea level",360.99,NA,NA,"not.censored",4217612.9,910804.299999995
"MW-15-1988",1988-01-26,"880062","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217592.3,909964.400000006
"MW-16-1988",1988-01-26,"880064","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217592.7,909113.699999994
"MW-18-1988",1988-01-26,"880059","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217912.6,910783.999999998
"MW-19-1988",1988-01-26,"880060","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217612.7,910364.200000005
"MW-19A-1988",1988-01-26,"880061","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217612.3,910354.099999997
"MW-20-1988",1988-01-26,"880063","Ammonia","mg/L",0.1,NA,NA,"left.censored",4217582.6,909533.999999998
"MW-21-1988",1988-01-26,"880065","Ammonia","mg/L",0.1,NA,NA,"left.censored",4218063,908984.000000007
"MW-22-1988",1988-01-26,"880066","Ammonia","mg/L",0.1,NA,NA,"left.censored",4218563.1,908764.299999998
"MW-15-1988",1988-01-26,"880062","Cadmium","µg/L",1,NA,NA,"left.censored",4217592.3,909964.400000006
"MW-16-1988",1988-01-26,"880064","Cadmium","µg/L",1,NA,NA,"left.censored",4217592.7,909113.699999994
"MW-18-1988",1988-01-26,"880059","Cadmium","µg/L",1,NA,NA,"left.censored",4217912.6,910783.999999998
"MW-19-1988",1988-01-26,"880060","Cadmium","µg/L",1,NA,NA,"left.censored",4217612.7,910364.200000005
"MW-19A-1988",1988-01-26,"880061","Cadmium","µg/L",1,NA,NA,"left.censored",4217612.3,910354.099999997
"MW-20-1988",1988-01-26,"880063","Cadmium","µg/L",1,NA,NA,"left.censored",4217582.6,909533.999999998
"MW-21-1988",1988-01-26,"880065","Cadmium","µg/L",1,NA,NA,"left.censored",4218063,908984.000000007
"MW-22-1988",1988-01-26,"880066","Cadmium","µg/L",1,NA,NA,"left.censored",4218563.1,908764.299999998
"MW-15-1988",1988-01-26,"880062","Chromium","µg/L",5,NA,NA,"left.censored",4217592.3,909964.400000006
"MW-16-1988",1988-01-26,"880064","Chromium","µg/L",5,NA,NA,"left.censored",4217592.7,909113.699999994
"MW-18-1988",1988-01-26,"880059","Chromium","µg/L",5,NA,NA,"left.censored",4217912.6,910783.999999998
"MW-19-1988",1988-01-26,"880060","Chromium","µg/L",5,NA,NA,"left.censored",4217612.7,910364.200000005
"MW-19A-1988",1988-01-26,"880061","Chromium","µg/L",5,NA,NA,"left.censored",4217612.3,910354.099999997
"MW-20-1988",1988-01-26,"880063","Chromium","µg/L",5,NA,NA,"left.censored",4217582.6,909533.999999998
"MW-21-1988",1988-01-26,"880065","Chromium","µg/L",5,NA,NA,"left.censored",4218063,908984.000000007
