,scene_num,what,who,directions
0,0,direction,,
1,0,direction,,
2,0,direction,,
3,0,direction,,
4,0,direction,,
5,0,direction,,
6,0,direction,,
7,0,direction,,
8,0,direction,,
9,0,direction,,
10,0,direction,,
11,1,scene,,
12,2,direction,,
13,2,direction,,
14,3,scene,,
15,4,direction,,
16,4,direction,,
17,5,scene,,
18,6,direction,,
19,6,direction,,
20,6,dialog,ASSISTANT,(COVERS MICROPHONE)
21,6,dialog,ANSEN,
22,6,direction,,
23,6,dialog,ASSISTANT,"(pause, listens);(PAUSE)"
24,6,direction,,
25,6,dialog,ANSEN,
26,6,dialog,ASSISTANT,
27,6,direction,,
28,6,direction,,
29,7,scene,,
30,8,direction,,
31,8,direction,,
32,8,dialog,ANSEN,
33,8,direction,,
34,8,dialog,NSA AGENT,(SMILES)
35,8,direction,,
36,8,dialog,ANSEN,
37,8,direction,,
38,8,dialog,NSA AGENT,
39,8,direction,,
40,8,dialog,ANSEN,
41,8,direction,,
42,8,dialog,ANSEN,(CONT'D);(MORE)
43,8,dialog,ANSEN,(CONT'D)
44,8,direction,,
45,8,dialog,NSA AGENT,
46,8,dialog,ANSEN,(SMILES)
47,8,dialog,NSA AGENT,
48,8,direction,,
49,8,dialog,ASSISTANT,
50,8,dialog,NSA AGENT,(IGNORES HIM)
51,8,direction,,
52,8,dialog,ANSEN,(SMILES)
53,8,dialog,NSA AGENT,
54,8,dialog,ANSEN,
55,8,direction,,
56,8,dialog,NSA AGENT,
57,8,dialog,ASSISTANT,(DELICATE);(CHANGES TACK)
58,8,direction,,
59,8,dialog,ANSEN,
60,8,dialog,NSA AGENT,
61,8,dialog,ANSEN,(INDIGNANT)
62,8,dialog,GOVERNMENT MAN,(STANDS)
63,8,direction,,
64,8,dialog,ASSISTANT,
65,8,direction,,
66,8,dialog,ANSEN,
67,8,direction,,
68,8,dialog,ANSEN,(CONT'D)
69,8,direction,,
70,8,direction,,
71,9,scene,,
72,10,direction,,
73,10,direction,,
74,10,direction,,
75,10,direction,,
76,10,dialog,BALLPLAYER,
77,10,dialog,COOPER,
78,10,dialog,BALLPLAYER,
79,10,dialog,COOPER,
80,10,direction,,
81,10,direction,,
82,10,dialog,BALLPLAYER,
83,10,direction,,
84,10,dialog,MURPH,(WRY SMILE)
85,10,direction,,
86,10,direction,,
87,10,dialog,BALLPLAYER,
88,10,dialog,COOPER,(SHRUGS)
89,10,direction,,
90,10,direction,,
91,11,scene,,
92,12,direction,,
93,12,direction,,
94,12,direction,,
95,13,scene,,
96,14,direction,,
97,14,direction,,
98,14,dialog,DONALD,
99,14,dialog,MURPH,(CONFUSED)
100,14,direction,,
101,14,direction,,
102,14,dialog,TOM,
103,14,dialog,COOPER,(shakes his head)
104,14,direction,,
105,14,direction,,
106,14,direction,,
107,15,scene,,
108,16,direction,,
109,16,dialog,DONALD,
110,16,dialog,COOPER,
111,16,dialog,DONALD,
112,16,dialog,COOPER,
113,16,direction,,
114,17,scene,,
115,18,direction,,
116,18,direction,,
117,18,dialog,DONALD,
118,18,direction,,
119,18,dialog,COOPER,
120,18,dialog,DONALD,(SHRUGS);(looks at him)
121,18,dialog,COOPER,
122,18,dialog,DONALD,(SMILES)
123,18,direction,,
124,18,dialog,DONALD,(CONT'D)
125,18,dialog,COOPER,
126,18,dialog,DONALD,
127,18,direction,,
128,19,scene,,
129,20,direction,,
130,20,direction,,
131,20,direction,,
132,21,scene,,
133,22,direction,,
134,22,dialog,COOPER,
135,22,dialog,TOM,
136,22,dialog,COOPER,
137,22,direction,,
138,22,dialog,MURPH,(off his look)
139,22,direction,,
140,22,dialog,COOPER,
141,22,dialog,MURPH,(CONFUSED)
142,22,direction,,
143,22,dialog,TOM,
144,22,direction,,
145,22,dialog,TOM,(CONT'D)
146,22,direction,,
147,22,dialog,COOPER,
148,22,dialog,TOM,
149,22,dialog,COOPER,
150,22,direction,,
151,22,dialog,MURPH,
152,22,dialog,COOPER,
153,22,dialog,MURPH,
154,22,dialog,COOPER,
155,22,direction,,
156,22,dialog,COOPER,(CONT'D)
157,22,direction,,
158,22,direction,,
159,22,direction,,
160,22,dialog,COOPER,(CONT'D)
161,22,direction,,
162,22,dialog,TOM,
163,23,scene,,
164,24,direction,,
165,24,direction,,
166,24,direction,,
167,24,dialog,TOM,
168,24,direction,,
169,25,scene,,
170,26,direction,,
171,26,direction,,
172,27,scene,,
173,28,direction,,
174,28,dialog,COOPER,(TO TOM)
175,28,direction,,
176,28,dialog,COOPER,(CONT'D)
177,28,direction,,
178,28,dialog,COOPER,(CONT'D)
179,28,direction,,
180,28,direction,,
181,28,direction,,
182,29,scene,,
183,30,direction,,
184,30,direction,,
185,31,scene,,
186,32,direction,,
187,33,scene,,
188,34,direction,,
189,35,scene,,
190,36,direction,,
191,36,dialog,TOM,(UNSURE)
192,36,dialog,COOPER,
193,36,direction,,
194,36,dialog,TOM,
195,36,direction,,
196,36,direction,,
197,37,scene,,
198,38,direction,,
199,38,direction,,
200,38,dialog,TOM,
201,38,dialog,COOPER,(SMILING)
202,38,direction,,
203,38,direction,,
204,38,direction,,
205,38,dialog,COOPER,(CONT'D)
206,38,direction,,
207,38,direction,,
208,38,direction,,
209,38,dialog,COOPER,(CONT'D)
210,38,direction,,
211,39,scene,,
212,40,direction,,
213,40,direction,,
214,40,direction,,
215,40,dialog,TOM,
216,40,dialog,COOPER,
217,40,dialog,TOM,
218,40,direction,,
219,40,dialog,COOPER,(SHRUGS)
220,40,direction,,
221,40,direction,,
222,40,dialog,MURPH,
223,40,dialog,COOPER,
224,40,dialog,MURPH,(QUIET)
225,40,direction,,
226,40,dialog,COOPER,
227,40,direction,,
228,41,scene,,
229,42,direction,,
230,43,scene,,
231,44,direction,,
232,44,dialog,PRINCIPAL,
233,44,direction,,
234,44,dialog,PRINCIPAL,(CONT'D)
235,44,direction,,
236,44,dialog,COOPER,
237,44,dialog,PRINCIPAL,
238,44,dialog,COOPER,
239,44,dialog,PRINCIPAL,
240,44,dialog,COOPER,(BEAT)
241,44,dialog,PRINCIPAL,
242,44,dialog,COOPER,
243,44,direction,,
244,44,dialog,PRINCIPAL,
245,44,dialog,COOPER,
246,44,dialog,PRINCIPAL,(BEAT)
247,44,direction,,
248,44,dialog,PRINCIPAL,(CONT'D);(SMILES BENIGNLY)
249,44,direction,,
250,44,dialog,COOPER,
251,44,dialog,PRINCIPAL,
252,44,direction,,
253,44,dialog,COOPER,
254,44,direction,,
255,44,dialog,COOPER,
256,44,direction,,
257,44,dialog,COOPER,
258,44,direction,,
259,44,dialog,COOPER,
260,44,direction,,
261,44,direction,,
262,44,direction,,
263,44,dialog,COOPER,
264,44,direction,,
265,44,dialog,COOPER,(CONT'D)
266,44,direction,,
267,45,scene,,
268,46,direction,,
269,46,direction,,
270,46,direction,,
271,46,dialog,COOPER,
272,46,direction,,
273,46,direction,,
274,47,scene,,
275,48,direction,,
276,49,scene,,
277,50,direction,,
278,50,dialog,COOPER,
279,50,direction,,
280,50,direction,,
281,51,scene,,
282,52,direction,,
283,52,direction,,
284,52,direction,,
285,52,direction,,
286,52,direction,,
287,52,direction,,
288,52,dialog,RIGGS,(points to dunes)
289,52,direction,,
290,52,direction,,
291,52,direction,,
292,53,scene,,
293,54,direction,,
294,54,direction,,
295,54,direction,,
296,54,direction,,
297,54,dialog,RIGGS,(FROM ABOVE)
298,54,direction,,
299,54,direction,,
300,54,dialog,COOPER,
301,55,scene,,
302,56,direction,,
303,56,direction,,
304,56,dialog,COOPER,
305,56,direction,,
306,56,dialog,RIGGS,
307,56,dialog,COOPER,
308,56,direction,,
309,57,scene,,
310,58,direction,,
311,58,direction,,
312,58,dialog,COOPER,
313,58,dialog,DONALD,
314,58,direction,,
315,58,dialog,DONALD,(CONT'D)
316,58,dialog,MURPH,
317,58,dialog,COOPER,
318,58,direction,,
319,58,direction,,
320,58,dialog,COOPER,(CONT'D)
321,58,direction,,
322,58,direction,,
323,58,dialog,MURPH,
324,58,dialog,COOPER,
325,58,direction,,
326,58,dialog,COOPER,(CONT'D)
327,58,direction,,
328,58,dialog,COOPER,(CONT'D)
329,58,dialog,MURPH,
330,58,dialog,COOPER,
331,58,direction,,
332,59,scene,,
333,60,direction,,
334,60,dialog,DONALD,
335,60,direction,,
336,60,dialog,COOPER,
337,60,dialog,DONALD,"(looks down,);(SMILES);(BEAT)"
338,60,direction,,
339,60,dialog,DONALD,(CONT'D)
340,60,dialog,COOPER,
341,60,dialog,DONALD,
342,60,direction,,
343,60,dialog,DONALD,(CONT'D)
344,60,direction,,
345,60,direction,,
346,61,scene,,
347,62,direction,,
348,63,scene,,
349,64,direction,,
350,64,direction,,
351,65,scene,,
352,66,direction,,
353,66,direction,,
354,67,scene,,
355,68,direction,,
356,68,direction,,
357,68,direction,,
358,68,direction,,
359,68,direction,,
360,68,direction,,
361,69,scene,,
362,70,direction,,
363,70,direction,,
364,70,dialog,MURPH,
365,70,direction,,
366,70,dialog,COOPER,
367,70,direction,,
368,70,dialog,TOM,
369,70,direction,,
