name,code,lat,lon,elev
"BETHEL",KOREUGEN31,44.08,123.20,380
"Torrington Station",KOREUGEN67,44.12,123.15,377
"South Eugene",KOREUGEN74,44.03,123.11,440
"South University",KOREUGEN127,44.037,123.074,470
"Old Baldy",KOREUGEN225,44.00,123.07,800
"Lafferty Park",KOREUGEN226,44.02,123.10,640
"Crescent Ave",KOREUGEN249,44.09,123.08,410
"Alvadore",KOREUGEN260,44.10,123.27,400
"Lema",KOREUGEN295,44.08,123.13,410
"College Hill",KOREUGEN303,44.03,123.10,587
"Churchill neighborhood",KOREUGEN307,44.03,123.15,545
"Stormy",KOREUGEN315,44.11,123.15,387
"Vickers_Whiteaker",KOREUGEN319,44.06,123.11,423
"CrossFit",KOREUGEN321,44.051,123.085,454
"Calliope Corner",KOREUGEN343,44.09,123.14,394
"Stormy",KOREUGEN315,44.11,123.15,387
"Andúril",KOREUGEN333,44.08,123.20,374
"Friends of Buford Park Native Plant Nursery",KOREUGEN346,44.02,122.99,463
"Home",KOREUGEN357,44.09,123.17,384
"Kitselman Eugene",KOREUGEN372,44.02,123.14,984
"Spyglass Osprey PWS",KOREUGEN406,44.08,123.09,417
"Spencer Gardens",KOREUGEN411,44.01,123.08,581
"Powell Street",KOREUGEN432,44.02,123.11,856
"EugeneHillside",KOREUGEN453,44.018,123.068,817
"Ambient WS",KOREUGEN463,44.023,123.083,135
"DragonFire Station",KOREUGEN472,44.03,123.13,728
"Eugene Palace",KOREUGEN507,44.10,123.16,117
"Charla",KOREUGEN514,44.039,123.054,469
"Neo",KOREUGEN516,44.02,123.15,990
"Rooftop",KOREUGEN540,44.02,123.06,902
"River Heights 1",KORSPRIN69,44.07,122.97,597
"Putman Weathet",KORSPRIN96,44.08,123.03,446
"PEF station",KORSPRIN138,44.07,123.00,472
"Base West Kelly Butte",KORSPRIN144,44.05,123.04,443
"Kacy's Station",KORSPRIN145,44.03,123.02,463
"PWS01",KORSPRIN172,44.03,122.98,489
"McKenzie View",KORSPRIN176,44.09,122.97,483
"Washburne",KORSPRIN194,44.05,123.02,460
"FRS541",KORVENET18,44.08,123.31,381
