grade,sex,ever_smoked,ever_vaped,n,year
6.0,F,0.13107996702390767,0.0,1226,1999
6.0,M,0.18663194444444445,0.0,1164,1999
7.0,F,0.31131458469587964,0.0,1536,1999
7.0,M,0.33777154870357395,0.0,1434,1999
8.0,F,0.4361785434612373,0.0,1280,1999
8.0,M,0.42444950645406226,0.0,1325,1999
9.0,F,0.5704387990762124,0.0,869,1999
9.0,M,0.5517993456924755,0.0,926,1999
10.0,F,0.6078431372549019,0.0,816,1999
10.0,M,0.6320293398533008,0.0,821,1999
11.0,F,0.6568265682656826,0.0,813,1999
11.0,M,0.7045977011494253,0.0,871,1999
12.0,F,0.7154377880184332,0.0,870,1999
12.0,M,0.7161862527716186,0.0,903,1999
13.0,F,0.9230769230769231,0.0,13,1999
13.0,M,0.6666666666666666,0.0,7,1999
6.0,F,0.21558743699108182,0.0,2618,2000
6.0,M,0.25636878285483217,0.0,2547,2000
7.0,F,0.3298523586604249,0.0,2798,2000
7.0,M,0.3804511278195489,0.0,2711,2000
8.0,F,0.49148936170212765,0.0,2851,2000
8.0,M,0.5079365079365079,0.0,2823,2000
9.0,F,0.5300184162062616,0.0,2735,2000
9.0,M,0.5618374558303887,0.0,2878,2000
10.0,F,0.6015557476231633,0.0,2334,2000
10.0,M,0.6485966935793925,0.0,2630,2000
11.0,F,0.6534816646065101,0.0,2449,2000
11.0,M,0.6974483596597812,0.0,2498,2000
12.0,F,0.7172376291462752,0.0,1853,2000
12.0,M,0.7314432989690721,0.0,1967,2000
13.0,F,0.7647058823529411,0.0,18,2000
13.0,M,0.8214285714285714,0.0,35,2000
6.0,F,0.21067575241340147,0.0,1791,2002
6.0,M,0.24188129899216126,0.0,1830,2002
7.0,F,0.3230349840981372,0.0,2237,2002
7.0,M,0.3573345259391771,0.0,2303,2002
8.0,F,0.4249539594843462,0.0,2197,2002
8.0,M,0.45509822263797944,0.0,2179,2002
9.0,F,0.46839959225280325,0.0,1982,2002
9.0,M,0.5163934426229508,0.0,1988,2002
10.0,F,0.5341757610568638,0.0,1757,2002
10.0,M,0.570028818443804,0.0,1757,2002
11.0,F,0.5770631067961165,0.0,1663,2002
11.0,M,0.6292495189223861,0.0,1583,2002
12.0,F,0.6424751718869366,0.0,1317,2002
12.0,M,0.6963503649635037,0.0,1391,2002
13.0,F,0.6785714285714286,0.0,28,2002
13.0,M,0.868421052631579,0.0,42,2002
6.0,F,0.15405046480743692,0.0,2308,2004
6.0,M,0.21412900394910048,0.0,2356,2004
7.0,F,0.28367875647668395,0.0,2359,2004
7.0,M,0.3008695652173913,0.0,2394,2004
8.0,F,0.36069210292812776,0.0,2284,2004
8.0,M,0.3727565577542568,0.0,2245,2004
9.0,F,0.44857667584940314,0.0,2202,2004
9.0,M,0.44922630560928434,0.0,2132,2004
10.0,F,0.47714604236343366,0.0,1822,2004
10.0,M,0.5222414789139226,0.0,1775,2004
11.0,F,0.5504702194357367,0.0,1617,2004
11.0,M,0.5810526315789474,0.0,1463,2004
12.0,F,0.5898021308980214,0.0,1323,2004
12.0,M,0.6527455529775715,0.0,1324,2004
13.0,F,1.0,0.0,5,2004
13.0,M,0.8235294117647058,0.0,25,2004
6.0,F,0.14055636896046853,0.0,2098,2006
6.0,M,0.1825726141078838,0.0,2001,2006
7.0,F,0.20924327069578466,0.0,2004,2006
7.0,M,0.24511819116135664,0.0,2017,2006
8.0,F,0.3116454502593116,0.0,2161,2006
8.0,M,0.34151329243353784,0.0,2030,2006
9.0,F,0.3885135135135135,0.0,2118,2006
9.0,M,0.4226646248085758,0.0,2016,2006
10.0,F,0.43952802359882004,0.0,2057,2006
10.0,M,0.46412213740458014,0.0,2001,2006
11.0,F,0.496045197740113,0.0,1793,2006
11.0,M,0.5240230621396541,0.0,1595,2006
12.0,F,0.5472527472527473,0.0,1391,2006
12.0,M,0.5893371757925072,0.0,1415,2006
13.0,F,1.0,0.0,7,2006
13.0,M,0.8888888888888888,0.0,10,2006
6.0,F,0.09919404835709858,0.0,1642,2009
6.0,M,0.13189448441247004,0.0,1727,2009
7.0,F,0.175990675990676,0.0,1744,2009
7.0,M,0.19988412514484358,0.0,1797,2009
8.0,F,0.2684848484848485,0.0,1666,2009
8.0,M,0.3001864512119329,0.0,1659,2009
9.0,F,0.3453282828282828,0.0,1616,2009
9.0,M,0.39657534246575343,0.0,1494,2009
10.0,F,0.4127190136275146,0.0,1571,2009
10.0,M,0.4698879551820728,0.0,1460,2009
11.0,F,0.4903010033444816,0.0,1510,2009
11.0,M,0.5241561879549967,0.0,1533,2009
12.0,F,0.5208199871877002,0.0,1576,2009
12.0,M,0.556135770234987,0.0,1562,2009
13.0,F,0.7777777777777778,0.0,10,2009
13.0,M,0.5,0.0,9,2009
6.0,F,0.10576164167324388,0.00779423226812159,1283,2011
